,Location,ParentLocation,Year,Anemia,Medinc,GDPPPP
1,Albania,Europe,2019,24.8,7.57,14.34
2,Algeria,Africa,2019,33.3,8.01,12.01
3,Angola,Africa,2019,44.5,1.84,6.95
4,Armenia,Europe,2019,17.3,5.87,14.23
5,Australia,Western Pacific,2019,8.5,48.73,52.03
6,Austria,Europe,2019,13,50.1,58.64
7,Azerbaijan,Europe,2019,35.1,17.46,15.05
8,Bangladesh,South-East Asia,2019,36.7,3.74,4.95
9,Belarus,Europe,2019,20.6,19.03,20.09
10,Belgium,Europe,2019,13.6,45.6,54.92
11,Belize,Americas,2019,20.5,5.08,7.56
12,Benin,Africa,2019,55.2,2.14,3.43
13,Bhutan,South-East Asia,2019,38.6,7.97,12.37
14,Bosnia and Herzegovina,Europe,2019,24.4,20.11,15.85
15,Botswana,Africa,2019,32.5,4.56,17.04
16,Brazil,Americas,2019,16.1,12.75,15.39
17,Bulgaria,Europe,2019,23.6,18.63,24.71
18,Burkina Faso,Africa,2019,52.5,2.34,2.27
19,Burundi,Africa,2019,38.5,1.11,0.78
20,Cameroon,Africa,2019,40.6,3.69,3.9
21,Canada,Americas,2019,10.4,51.58,50.66
22,Central African Republic,Africa,2019,46.8,1.17,0.99
23,Chad,Africa,2019,45.4,2.27,1.65
24,Chile,Americas,2019,8.7,17.62,25.97
25,China,Western Pacific,2019,15.5,11.24,16.65
26,Colombia,Americas,2019,21.2,8.84,15.62
27,Comoros,Africa,2019,33.8,3.92,3.19
28,Costa Rica,Americas,2019,13.7,14.71,21.83
29,Croatia,Europe,2019,21,21.75,30.99
30,Cyprus,Europe,2019,13.6,37.94,41.51
31,Denmark,Europe,2019,12.2,49.27,59.9
32,Djibouti,Eastern Mediterranean,2019,32.3,4.24,5.77
33,Dominican Republic,Americas,2019,26.4,11.7,19.19
34,Ecuador,Americas,2019,17.2,9.43,11.85
35,El Salvador,Americas,2019,10.6,9.06,9.15
36,Estonia,Europe,2019,21.7,31.98,38.29
37,Eswatini,Africa,2019,30.7,3.11,9.02
38,Ethiopia,Africa,2019,23.9,3.08,2.32
39,Fiji,Western Pacific,2019,32,7.97,14.26
40,Finland,Europe,2019,10.9,45.79,51.52
41,France,Europe,2019,10.6,45.6,49.62
42,Gabon,Africa,2019,52.4,7.59,15.58
43,Georgia,Europe,2019,27.5,6.21,15.62
44,Germany,Europe,2019,11.7,47.86,56.28
45,Ghana,Africa,2019,35.4,5.47,5.77
46,Greece,Europe,2019,15.1,19.94,30.84
47,Guatemala,Americas,2019,7.4,6.27,9.02
48,Guinea,Africa,2019,48,2.96,2.68
49,Guinea-Bissau,Africa,2019,48.1,1.52,2.02
50,Guyana,Americas,2019,31.7,9.32,13.64
51,Haiti,Americas,2019,47.7,3.56,3.2
52,Honduras,Americas,2019,18,5.66,5.98
53,Hungary,Europe,2019,19.7,23.48,33.96
54,Iceland,Europe,2019,10.3,53.88,60.13
55,Indonesia,South-East Asia,2019,31.2,5.24,12.31
56,Iraq,Eastern Mediterranean,2019,28.6,5.62,11.4
57,Ireland,Europe,2019,12.1,44.78,89.55
58,Israel,Europe,2019,12.9,31.23,42.3
59,Italy,Europe,2019,13.6,36.73,44.95
60,Jamaica,Americas,2019,19.9,7.85,10.19
61,Japan,Western Pacific,2019,19,41.54,42.9
62,Jordan,Eastern Mediterranean,2019,37.7,8.95,10.5
