Country,Region,City,Population,Census_Year,Census_Date,Budget_USD,Actual_Spent_USD,Delay_Days,Census_Status,Supervisor,Households_Surveyed,Field_Workers,Data_Quality_Score
Canada,North,City_265,,2017,19/12/2017,3936127.35,3972642.76,,Completed,Ali Khan,1459,9,
Canada,West,City_272,456999,2004,21/12/2004,559463.64,575386.34,0,Delayed,Ali Khan,4732,47,52.8
Australia,Central,City_408,518184,2016,12/02/2016,4222870.76,4268390.82,,,John Doe,2538,3,59.21
Brazil,West,City_475,2257172,2012,14/08/2012,2052730.56,2078403.77,,,Jane Smith,1016,46,66.05
Germany,Central,City_177,3201381,2022,16/03/2022,1589516.77,1619467.25,,Completed,,5867,13,77.79
Germany,West,City_58,1344989,2019,10/02/2019,2958521.48,2955937.23,0,Cancelled,John Doe,5275,48,85.09
Canada,South,City_346,3672085,1998,13/02/1998,3527339.8,3547074.02,104,In Progress,Ali Khan,7290,19,64.01
Canada,West,City_273,4057007,2019,17/09/2019,1640754.56,1673749.07,0,,,1117,34,90.62
South Africa,South,City_434,3353549,1997,26/02/1997,503815.71,548607.08,0,Cancelled,Wei Zhang,1769,18,74.23
India,North,City_165,4346240,2009,28/02/2009,3709490.46,3706576.51,29,In Progress,,3363,5,58.5
Australia,North,City_235,651957,2020,11/05/2020,4108224.63,4116162.78,,,Jane Smith,8847,4,91.22
UK,East,City_409,3557390,2004,20/05/2004,171996.18,185464.82,0,,Jane Smith,6746,35,50.44
India,West,City_333,2237022,2008,08/02/2008,857600.09,898556.53,113,,,1718,21,55.14
Germany,West,City_248,2285336,2001,17/06/2001,971099.52,1008549.29,,Delayed,,1723,9,57.59
Brazil,South,City_330,2030982,2000,20/03/2000,1236961.23,1244072.49,,Delayed,,2532,37,
Australia,West,City_163,3578381,2012,05/05/2012,1508241.5,1511313.26,131,Unknown,,4647,13,72
Canada,West,City_366,377656,2001,05/08/2001,2083752.05,2103386.91,,Cancelled,John Doe,9784,2,63.84
India,East,City_18,212324,2020,16/10/2020,4032730.85,4037035.43,,Completed,Wei Zhang,5950,34,78.67
China,West,City_416,3276902,1997,12/03/1997,1944082.59,1960704.22,41,Completed,Wei Zhang,1849,29,53.21
China,Central,City_44,897102,2017,16/05/2017,4605503.96,4643277.26,0,In Progress,,3969,5,95.97
India,North,City_24,1242116,2001,05/11/2001,,1917452.86,25,Delayed,Jane Smith,4438,47,53.06
India,North,City_362,4700697,2016,22/09/2016,4821612.36,4866328.78,,In Progress,,835,14,65.97
Canada,Central,City_39,2047719,2010,22/12/2010,2664517.09,2702806.77,0,Cancelled,Ali Khan,1570,16,70.2
Canada,East,City_200,4350403,2021,15/04/2021,2081326.82,2093208.09,0,,Jane Smith,9347,25,63.17
South Africa,North,City_139,3242519,2017,15/02/2017,1608718.4,1641927.1,0,Cancelled,,4306,16,
Nigeria,Central,City_186,1303664,2008,04/09/2008,4560360.16,4574242.53,0,In Progress,Wei Zhang,2101,47,55.48
Germany,North,City_457,1203011,2006,26/11/2006,2256557.4,2280260.26,,In Progress,Ali Khan,8396,24,99.51
Brazil,West,City_141,2884530,2007,19/01/2007,2670582.17,2688813.42,31,,Wei Zhang,6704,26,97.02
Australia,West,City_100,2661404,2009,22/09/2009,4817448.9,4835307.74,0,,Ali Khan,1292,36,97.4
Canada,North,City_262,539795,2001,02/08/2001,1756021.51,1787863.32,0,Delayed,,7759,36,73.26
Germany,North,City_292,1033774,2016,20/11/2016,3095119.37,3107662.65,107,Completed,Jane Smith,9144,26,87.25
India,South,City_78,1754657,2012,25/10/2012,1251098.51,1271654.71,0,,Wei Zhang,4347,35,70.22
India,North,City_298,2515812,2017,14/12/2017,1180752.51,1218939.9,0,In Progress,Jane Smith,6423,14,70.88
China,East,City_72,176591,2014,09/03/2014,3273024.83,3299031.53,0,,,8919,29,81.31
South Africa,South,City_303,2333296,2008,05/06/2008,4833634.77,4830312.5,0,,Ali Khan,6543,14,90.43
Germany,South,City_474,4217582,2005,21/04/2005,2945729.35,2990966.38,,Cancelled,Ali Khan,7788,47,57.36
USA,North,City_114,4416515,2009,12/03/2009,2707156.54,2750651.49,,Completed,Jane Smith,4313,28,56.18
UK,North,City_145,2540707,2019,07/05/2019,4627187.88,4668058.41,56,Completed,Wei Zhang,670,11,94.83
Australia,South,City_189,447648,2017,08/08/2017,3811030.49,3836233.17,0,,Wei Zhang,108,19,98.16
China,North,City_284,2596284,2010,11/02/2010,651623.82,698104.13,,Cancelled,Ali Khan,9235,43,95.11
South Africa,Central,City_39,2416172,2002,15/02/2002,4246618.62,4289235.89,,In Progress,,7562,39,63.93
India,West,City_76,4069132,2013,10/03/2013,4300167.95,4336536.79,0,,Jane Smith,9176,8,87.37
South Africa,North,City_424,1895818,2012,19/09/2012,4980944.76,5004079.17,0,Completed,Wei Zhang,8791,2,
Australia,South,City_62,4652507,2010,10/04/2010,4207789.73,4214366.64,156,,Ali Khan,2299,5,57.36
China,West,City_299,3181618,2017,08/12/2017,3924930.44,3964706.94,36,,Wei Zhang,3080,38,92.52
India,West,City_93,408161,1998,25/03/1998,4847934.86,4874226.09,0,In Progress,John Doe,9353,5,66.32
Nigeria,North,City_93,2744334,2010,20/08/2010,3024200.54,3023101.45,114,Completed,Jane Smith,5633,50,89.14
India,South,City_22,1675463,2012,23/02/2012,1444430.91,1449677.99,0,,Jane Smith,8526,43,95
South Africa,North,City_98,833905,1996,19/10/1996,1843927.4,1860970.57,,Cancelled,John Doe,1210,41,50.11
South Africa,South,City_280,2586847,2011,11/05/2011,1651786.95,1667023.17,0,,Ali Khan,712,21,
Australia,South,City_360,,1996,18/08/1996,534286.1,549570.21,0,In Progress,,7949,20,89.82
Canada,Central,City_140,3073687,1999,02/12/1999,2753978.49,2783990.61,22,In Progress,,8426,23,66.1
Canada,East,City_346,353249,2020,03/04/2020,4539388.05,4553513.01,,Completed,,5960,47,76.91
China,East,City_142,93301,2019,02/08/2019,4563117.75,4580842.45,,,Jane Smith,9524,37,61.73
India,East,City_127,2418035,2022,23/12/2022,1088121.22,1108684.67,29,Completed,,414,18,52.81
China,West,City_150,3188906,2014,17/10/2014,4459529.41,4455300.95,151,Delayed,Jane Smith,1313,47,72.51
Australia,East,City_359,2134893,2001,18/07/2001,2209390.13,2222482.3,166,In Progress,Wei Zhang,1591,10,53.92
Brazil,South,City_235,3427334,2014,18/06/2014,1047389.16,1074073.81,,Delayed,,1015,21,53.36
Germany,Central,City_61,3252651,2012,23/11/2012,2768149.04,2773114.9,169,Delayed,,7275,26,83.28
Canada,Central,City_206,4466194,2013,02/01/2013,799050.63,806108.89,0,Cancelled,,3400,7,65.4
Canada,West,City_125,4955822,2005,13/08/2005,3847418.09,3858998.79,81,,,8303,3,51.31
Germany,North,City_407,1567133,2000,19/12/2000,1472790.02,1510796.72,,Completed,John Doe,9616,46,57.87
China,South,City_54,4204426,2019,21/04/2019,1168228.18,1200172.75,0,Completed,,163,30,
Brazil,North,City_409,1773857,2009,25/06/2009,882059.3,877961.36,62,Delayed,Wei Zhang,3781,18,56.09
Canada,North,City_365,4887968,2018,11/05/2018,2692991.35,2706129.96,,,Jane Smith,8689,26,90.11
China,East,City_167,3730115,2009,14/10/2009,3326097.22,3358576.18,120,Cancelled,John Doe,8220,9,65.03
South Africa,Central,City_145,4199404,2007,22/08/2007,121102.24,166540.17,0,,John Doe,8185,45,61.42
Brazil,West,City_286,806685,2014,21/02/2014,1693558.34,1719518.54,,In Progress,Ali Khan,4411,49,71.29
Canada,Central,City_334,22302,2003,05/03/2003,4966420.12,4975058.74,0,In Progress,Jane Smith,1874,23,99.52
China,South,City_92,4711814,2018,13/11/2018,4849337.53,4885068.79,0,Delayed,Ali Khan,2268,36,
USA,North,City_467,2916049,2000,05/11/2000,357024.35,372879.3,,Delayed,Jane Smith,8222,34,50.44
Germany,Central,City_163,2310972,2018,04/06/2018,4702352.02,4714794.21,0,Cancelled,,7842,1,89.92
Canada,South,City_362,176929,2018,17/10/2018,166287.1,163653.16,0,Completed,Ali Khan,3928,27,66.91
USA,South,City_275,2032239,2019,13/12/2019,3632144.96,3648375.51,0,,John Doe,1206,34,58.13
India,East,City_176,2258757,2020,26/04/2020,2743315.51,2738942.87,0,,,9784,15,53.19
China,Central,City_137,894582,2006,20/11/2006,2564041.48,2562913.85,0,In Progress,,6942,19,75.82
China,East,City_219,3708179,2010,10/01/2010,4891686.08,4903131.43,0,,,2745,38,82.11
Nigeria,Central,City_25,2417072,2001,17/10/2001,2951964.67,2979340.19,,,John Doe,7706,44,62.52
Australia,West,City_20,1002572,1998,01/07/1998,3592942.21,3604484.99,0,Completed,John Doe,610,21,50.06
India,West,City_192,3197188,2006,10/03/2006,2063463.43,2099882.72,106,,,8429,46,87.7
Australia,West,City_79,4586305,2014,17/02/2014,3978346.11,4018518.82,157,,,5545,46,71.76
